   0:          0          0
   5:          0          0
  10:          0          0
  15:          0          0
  20:          0          0
  25:          0          0
  30:          0          0
  35:          0          0
  40:          0          0
  45:          0          0
  50:          0          0
  55:          0          0
  60:          0          0
  65:          0          0
  70:          0          0
  75:          0          0
  80:          0          0
  85:          0          0
  90:          0          0
  95:          0          0
 100:          0          0
 105:          0          0
 110:          0          0
 115:      46040          0
 120:       3954          0
 125:          3          0
 130:          0          0
 135:          0          0
 140:          1          0
 145:          0          0
 150:          1          0
 155:          0          0
 160:          0          0
 165:          0          0
 170:          0          0
 175:          0          0
 180:          0          0
 185:          0          0
 190:          0          0
 195:          1          0
 200:          0          0
 205:          0          0
 210:          0          0
 215:          0          0
 220:          0          0
 225:          0          0
 230:          0          0
 235:          0          0
 240:          0          0
 245:          0          0
 250:          0          0
 255:          0          0
 260:          0          0
 265:          0          0
 270:          0          0
 275:          0          0
 280:          0          0
 285:          0          0
 290:          0          0
 295:          0          0
 300:          0          0
 305:          0          0
 310:          0          0
 315:          0          0
 320:          0          0
 325:          0          0
 330:          0          0
 335:          0          0
 340:          0          0
 345:          0          0
 350:          0          0
 355:          0          0
 360:          0          0
 365:          0          5
 370:          0          0
 375:          0          0
 380:          0          1
 385:          0          6
 390:          0         23
 395:          0          1
 400:          0          0
 405:          0          0
 410:          0          0
 415:          0          0
 420:          0          0
 425:          0          1
 430:          0          1
 435:          0        111
 440:          0        305
 445:          0        101
 450:          0         59
 455:          0       9383
 460:          0      30537
 465:          0       5217
 470:          0          9
 475:          0          9
 480:          0         16
 485:          0          5
 490:          0          5
 495:          0         19
 500:          0         31
 505:          0          9
 510:          0         10
 515:          0         29
 520:          0         14
 525:          0          2
 530:          0          2
 535:          0          0
 540:          0          2
 545:          0          3
 550:          0          1
 555:          0          2
 560:          0          2
 565:          0          2
 570:          0          1
 575:          0          0
 580:          0          1
 585:          0          0
 590:          0          4
 595:          0          0
 600:          0          2
 605:          0          0
 610:          0          2
 615:          0          0
 620:          0          1
 625:          0         23
 630:          0       1250
 635:          0       1376
 640:          0       1085
 645:          0        112
 650:          0          1
 655:          0          3
 660:          0          0
 665:          0          2
 670:          0          0
 675:          0          4
 680:          0          5
 685:          0          2
 690:          0          0
 695:          0          3
 700:          0          5
 705:          0          4
 710:          0          1
 715:          0          3
 720:          0          2
 725:          0          0
 730:          0          2
 735:          0          0
 740:          0          0
 745:          0          0
 750:          0          2
 755:          0          4
 760:          0          3
 765:          0          0
 770:          0          0
 775:          0          0
 780:          0          0
 785:          0          0
 790:          0          2
 795:          0          1
 800:          0          0
 805:          0          0
 810:          0          0
 815:          0          0
 820:          0          0
 825:          0          0
 830:          0          1
 835:          0          2
 840:          0          0
 845:          0          2
 850:          0          0
 855:          0          0
 860:          0          0
 865:          0          0
 870:          0          0
 875:          0          0
 880:          0          0
 885:          0          0
 890:          0          0
 895:          0          1
 900:          0          0
 905:          0          0
 910:          0         24
 915:          0         89
 920:          0         17
 925:          0          0
 930:          0          0
 935:          0          0
 940:          0          1
 945:          0          0
 950:          0          0
 955:          0          0
 960:          0          0
 965:          0          0
 970:          0          0
 975:          0          0
 980:          0          0
 985:          0          1
 990:          0          3
 995:          0          0
1000:          0          0
1005:          0          0
1010:          0          0
1015:          0          0
1020:          0          0
1025:          0          0
1030:          0          0
1035:          0          0
1040:          0          0
1045:          0          0
1050:          0          0
1055:          0          5
1060:          0         10
1065:          0          6
1070:          0          1
1075:          0          1
1080:          0          0
1085:          0          1
1090:          0          1
1095:          0          1
1100:          0          0
1105:          0          0
1110:          0          0
1115:          0          0
1120:          0          1
1125:          0          1
1130:          0          0
1135:          0          0
1140:          0          0
1145:          0          0
1150:          0          0
1155:          0          0
1160:          0          0
1165:          0          0
1170:          0          0
1175:          0          0
1180:          0          0
1185:          0          0
1190:          0          0
1195:          0          0
1200:          0          0
1205:          0          0
1210:          0          0
1215:          0          0
1220:          0          0
1225:          0          0
1230:          0          0
1235:          0          0
1240:          0          0
1245:          0          0
1250:          0          0
1255:          0          0
1260:          0          0
1265:          0          0
1270:          0          0
1275:          0          0
1280:          0          0
1285:          0          0
1290:          0          0
1295:          0          0
1300:          0          0
1305:          0          0
1310:          0          0
1315:          0          0
1320:          0          0
1325:          0          0
1330:          0          0
1335:          0          0
1340:          0          0
1345:          0          0
1350:          0          0
1355:          0          0
1360:          0          0
1365:          0          0
1370:          0          0
1375:          0          0
1380:          0          0
1385:          0          0
1390:          0          0
1395:          0          0
1400:          0          0
1405:          0          0
1410:          0          0
1415:          0          0
1420:          0          0
1425:          0          0
1430:          0          0
1435:          0          0
1440:          0          0
1445:          0          0
1450:          0          0
1455:          0          0
1460:          0          0
1465:          0          0
1470:          0          0
1475:          0          0
1480:          0          0
1485:          0          0
1490:          0          0
1495:          0          2
