   0:          0          0
   5:          0          0
  10:          0          0
  15:          0          0
  20:          0          0
  25:          0          0
  30:          0          0
  35:          0          0
  40:          0          0
  45:          0          0
  50:          0          0
  55:          0          0
  60:          0          0
  65:          0          0
  70:          0          0
  75:          0          0
  80:          0          0
  85:          0          0
  90:          0          0
  95:          0          0
 100:          0          0
 105:          0          0
 110:          0          0
 115:          0          0
 120:          0          0
 125:          0          0
 130:          0          0
 135:          0          0
 140:          0          0
 145:          0          0
 150:          0          0
 155:          0          0
 160:          0          0
 165:          0          0
 170:          0          0
 175:          0          0
 180:          0          0
 185:          0          0
 190:          0          0
 195:          0          0
 200:       1936          0
 205:      48056          0
 210:          0          0
 215:          4          0
 220:          0          0
 225:          0          0
 230:          0          0
 235:          2          0
 240:          0          0
 245:          0          0
 250:          0          0
 255:          0          0
 260:          0          0
 265:          0          0
 270:          0          0
 275:          1          0
 280:          0          0
 285:          0          0
 290:          0          0
 295:          0          0
 300:          0          0
 305:          0          0
 310:          0          0
 315:          0          0
 320:          0          0
 325:          0          0
 330:          0          0
 335:          0          0
 340:          0          0
 345:          0          0
 350:          0          0
 355:          0          0
 360:          0          0
 365:          0         44
 370:          0         32
 375:          0          6
 380:          0         20
 385:          0        250
 390:          0        868
 395:          0        115
 400:          0          3
 405:          0          2
 410:          0          4
 415:          0          0
 420:          0          5
 425:          0         10
 430:          0         10
 435:          0        104
 440:          0        331
 445:          0        107
 450:          0         74
 455:          0      13502
 460:          0      30534
 465:          0       3711
 470:          0          5
 475:          0          8
 480:          0         10
 485:          0          8
 490:          0          5
 495:          0         23
 500:          0         39
 505:          0          6
 510:          0         11
 515:          0         15
 520:          0          7
 525:          0          0
 530:          0          2
 535:          0          3
 540:          0          7
 545:          0          3
 550:          0          0
 555:          0          1
 560:          0          2
 565:          0          7
 570:          0          4
 575:          0          8
 580:          0          4
 585:          0          2
 590:          0          1
 595:          0          1
 600:          0          2
 605:          0          5
 610:          0          5
 615:          0          0
 620:          0          1
 625:          0          0
 630:          0          0
 635:          0          2
 640:          0          1
 645:          0          1
 650:          0          0
 655:          0          0
 660:          0          1
 665:          0          1
 670:          0          0
 675:          0          1
 680:          0          1
 685:          0          4
 690:          0          2
 695:          0          0
 700:          0          1
 705:          0          0
 710:          0          0
 715:          0          2
 720:          0          0
 725:          0          0
 730:          0          0
 735:          0          2
 740:          0          0
 745:          0          1
 750:          0          1
 755:          0          0
 760:          0          1
 765:          0          0
 770:          0          0
 775:          0          0
 780:          0          0
 785:          0          0
 790:          0          0
 795:          0          1
 800:          0          0
 805:          0          0
 810:          0          0
 815:          0          0
 820:          0          1
 825:          0          0
 830:          0          0
 835:          0          0
 840:          0          0
 845:          0          8
 850:          0          1
 855:          0          0
 860:          0          0
 865:          0          0
 870:          0          0
 875:          0          0
 880:          0          0
 885:          0          0
 890:          0          0
 895:          0          0
 900:          0          0
 905:          0          0
 910:          0          1
 915:          0          0
 920:          0          0
 925:          0          0
 930:          0          0
 935:          0          0
 940:          0          0
 945:          0          0
 950:          0          0
 955:          0          0
 960:          0          0
 965:          0          0
 970:          0          0
 975:          0          0
 980:          0          0
 985:          0          1
 990:          0          6
 995:          0          0
1000:          0          0
1005:          0          0
1010:          0          0
1015:          0          0
1020:          0          0
1025:          0          0
1030:          0          2
1035:          0          2
1040:          0          0
1045:          0          0
1050:          0          0
1055:          0          2
1060:          0         13
1065:          0          4
1070:          0          0
1075:          0          0
1080:          0          0
1085:          0          0
1090:          0          1
1095:          0          1
1100:          0          1
1105:          0          0
1110:          0          0
1115:          0          1
1120:          0          0
1125:          0          1
1130:          0          0
1135:          0          0
1140:          0          0
1145:          0          0
1150:          0          0
1155:          0          0
1160:          0          0
1165:          0          0
1170:          0          0
1175:          0          0
1180:          0          1
1185:          0          0
1190:          0          0
1195:          0          0
1200:          0          0
1205:          0          0
1210:          0          0
1215:          0          0
1220:          0          0
1225:          0          0
1230:          0          0
1235:          0          0
1240:          0          0
1245:          0          0
1250:          0          0
1255:          0          0
1260:          0          0
1265:          0          0
1270:          0          0
1275:          0          0
1280:          0          0
1285:          0          0
1290:          0          0
1295:          0          0
1300:          0          0
1305:          0          0
1310:          0          0
1315:          0          0
1320:          0          0
1325:          0          0
1330:          0          0
1335:          0          0
1340:          0          0
1345:          0          0
1350:          0          0
1355:          0          0
1360:          0          0
1365:          0          0
1370:          0          0
1375:          0          0
1380:          0          0
1385:          0          0
1390:          0          0
1395:          0          0
1400:          0          0
1405:          0          0
1410:          0          0
1415:          0          0
1420:          0          0
1425:          0          0
1430:          0          0
1435:          0          0
1440:          0          0
1445:          0          0
1450:          0          0
1455:          0          0
1460:          0          0
1465:          0          0
1470:          0          0
1475:          0          0
1480:          0          0
1485:          0          0
1490:          0          0
1495:          1          3
